39, Adm-clerical,40, Male, Bachelors, State-gov, <=50K
24, Tech-support,50, Male, Bachelors, Private, <=50K
49, Adm-clerical,40, Female, HS-grad, Private, <=50K
25, Handlers-cleaners,35, Male, HS-grad, Private, <=50K
57, Prof-specialty,40, Male, Bachelors, Federal-gov, >50K
53, Machine-op-inspct,38, Male, HS-grad, Private, <=50K
44, Exec-managerial,40, Female, Masters, Private, <=50K
41, Craft-repair,40, Male, Assoc-voc, State-gov, <=50K
29, Prof-specialty,43, Male, Assoc-voc, Private, <=50K
25, Exec-managerial,40, Female, Some-college, Private, <=50K
18, Other-service,30, Female, HS-grad, Private, <=50K
47, Prof-specialty,60, Female, Prof-school, Private, >50K
50, Exec-managerial,55, Male, Bachelors, Federal-gov, >50K
47, Exec-managerial,60, Male, HS-grad, Self-emp-inc, <=50K
43, Tech-support,40, Male, Some-college, Private, >50K
46, Machine-op-inspct,40, Male, 5th-6th, Private, <=50K
35, Other-service,40, Male, Assoc-voc, Private, <=50K
41, Adm-clerical,48, Male, HS-grad, Private, <=50K
30, Machine-op-inspct,40, Male, HS-grad, Private, <=50K
30, Sales,40, Male, Bachelors, Private, <=50K
32, ?,40, Male, 7th-8th, ?, <=50K
48, Transport-moving,40, Male, HS-grad, Private, <=50K
42, Prof-specialty,45, Male, Doctorate, Private, >50K
29, Tech-support,58, Male, Some-college, Private, <=50K
36, Craft-repair,40, Male, HS-grad, Private, <=50K
28, Adm-clerical,40, Female, Some-college, Private, <=50K
53, Adm-clerical,40, Female, HS-grad, Private, >50K
49, Exec-managerial,50, Male, Some-college, Self-emp-inc, >50K
25, ?,40, Male, Some-college, ?, <=50K
19, Prof-specialty,32, Male, Some-college, Private, <=50K
31, Sales,40, Female, Bachelors, Private, <=50K
29, Sales,70, Male, Bachelors, Self-emp-not-inc, >50K
23, Machine-op-inspct,40, Male, Some-college, Private, <=50K
79, Prof-specialty,20, Male, Some-college, Private, <=50K
27, Other-service,40, Male, HS-grad, Private, <=50K
40, Adm-clerical,40, Male, Assoc-acdm, Private, <=50K
67, ?,2, Male, 10th, ?, <=50K
18, Other-service,22, Female, 11th, Private, <=50K
31, Farming-fishing,40, Male, 7th-8th, Local-gov, <=50K
18, Sales,30, Male, HS-grad, Private, <=50K
52, Other-service,40, Male, Bachelors, Private, <=50K
46, Other-service,40, Female, HS-grad, Private, <=50K
59, Sales,48, Male, HS-grad, Private, <=50K
44, Craft-repair,40, Female, HS-grad, Private, >50K
53, Sales,35, Female, HS-grad, Private, <=50K
49, Protective-serv,40, Male, HS-grad, Local-gov, >50K
33, Prof-specialty,50, Male, Masters, Private, <=50K
30, Sales,40, Male, 9th, Private, <=50K
43, Prof-specialty,50, Female, Doctorate, Federal-gov, >50K
57, Prof-specialty,40, Male, Assoc-voc, Private, <=50K
37, Craft-repair,40, Female, Some-college, Private, <=50K
28, Machine-op-inspct,25, Female, Some-college, Private, <=50K
30, Sales,35, Female, HS-grad, Private, <=50K
34, Protective-serv,40, Male, Bachelors, Local-gov, >50K
29, Handlers-cleaners,50, Male, Some-college, Local-gov, <=50K
48, Prof-specialty,60, Male, Doctorate, Self-emp-not-inc, >50K
37, Sales,48, Male, Some-college, Private, >50K
48, Exec-managerial,40, Female, Assoc-acdm, Private, <=50K
32, Other-service,40, Male, HS-grad, Federal-gov, <=50K
76, Exec-managerial,40, Male, Masters, Private, >50K
44, Exec-managerial,60, Male, Bachelors, Private, >50K
47, Prof-specialty,50, Female, Masters, Self-emp-not-inc, <=50K
20, Tech-support,40, Female, Some-college, Private, <=50K
29, Craft-repair,40, Male, HS-grad, Private, <=50K
32, Craft-repair,40, Male, HS-grad, Self-emp-inc, >50K
17, ?,32, Female, 10th, ?, <=50K
30, Handlers-cleaners,40, Male, 11th, Private, <=50K
31, Adm-clerical,40, Female, HS-grad, Local-gov, <=50K
42, Handlers-cleaners,40, Male, HS-grad, Private, <=50K
24, Sales,40, Male, Bachelors, Private, <=50K
38, Prof-specialty,40, Male, Prof-school, Private, >50K
56, Other-service,50, Male, HS-grad, Self-emp-not-inc, >50K
28, Sales,25, Female, Some-college, Private, <=50K
36, Machine-op-inspct,40, Female, HS-grad, Private, <=50K
53, Handlers-cleaners,50, Male, 9th, Private, <=50K
56, Sales,50, Male, Some-college, Self-emp-inc, <=50K
49, Craft-repair,40, Male, Assoc-voc, Local-gov, >50K
55, Sales,56, Male, Some-college, Private, <=50K
22, Craft-repair,41, Male, HS-grad, Private, <=50K
21, Other-service,40, Female, Some-college, Private, <=50K
40, Exec-managerial,60, Male, Bachelors, Private, <=50K
30, Exec-managerial,40, Male, Bachelors, Private, <=50K
29, Prof-specialty,50, Male, Bachelors, State-gov, >50K
19, Other-service,35, Male, Some-college, Private, <=50K
47, Exec-managerial,40, Female, Bachelors, Private, >50K
20, Adm-clerical,28, Female, Some-college, Private, <=50K
31, Adm-clerical,40, Male, Assoc-acdm, Private, >50K
35, ?,40, Male, HS-grad, ?, <=50K
39, Craft-repair,40, Male, Some-college, Private, <=50K
28, Sales,60, Female, Assoc-acdm, Private, <=50K
24, Other-service,40, Female, HS-grad, Private, <=50K
38, Craft-repair,35, Male, HS-grad, Self-emp-not-inc, <=50K
37, Sales,50, Male, Bachelors, Private, <=50K
46, Tech-support,36, Female, Assoc-acdm, Private, <=50K
38, Prof-specialty,40, Male, Masters, Federal-gov, >50K
43, Craft-repair,60, Male, HS-grad, Self-emp-not-inc, <=50K
27, Adm-clerical,35, Female, Assoc-voc, Private, <=50K
20, Sales,20, Male, Some-college, Private, <=50K
49, Craft-repair,40, Male, Some-college, Private, >50K
61, Craft-repair,40, Male, HS-grad, Self-emp-inc, <=50K
27, Sales,40, Female, Some-college, Private, <=50K
19, Other-service,30, Male, Some-college, Private, <=50K
45, Prof-specialty,40, Female, Assoc-voc, Private, >50K
70, Tech-support,40, Male, Some-college, Private, <=50K
31, Transport-moving,30, Female, HS-grad, Private, <=50K
22, Other-service,24, Male, Some-college, Private, <=50K
36, Other-service,24, Female, HS-grad, Private, <=50K
64, Craft-repair,40, Male, 11th, Private, <=50K
43, ?,40, Female, Some-college, ?, <=50K
47, Adm-clerical,38, Female, Some-college, Local-gov, <=50K
34, Adm-clerical,40, Female, HS-grad, Private, <=50K
33, Exec-managerial,40, Female, Bachelors, Private, <=50K
21, Craft-repair,35, Male, HS-grad, Private, <=50K
52, ?,45, Male, HS-grad, ?, >50K
48, Craft-repair,46, Male, HS-grad, Private, <=50K
23, Handlers-cleaners,40, Male, Bachelors, Private, <=50K
71, Sales,2, Male, Some-college, Self-emp-not-inc, <=50K
29, Craft-repair,60, Male, HS-grad, Private, <=50K
42, Other-service,50, Male, Bachelors, Private, <=50K
68, ?,20, Female, 1st-4th, ?, <=50K
25, Other-service,40, Female, HS-grad, Private, <=50K
44, Exec-managerial,40, Female, Masters, Self-emp-inc, <=50K
28, Exec-managerial,40, Female, HS-grad, Private, <=50K
45, Sales,40, Male, Masters, Self-emp-not-inc, >50K
36, Other-service,40, Female, Some-college, Private, <=50K
39, Exec-managerial,42, Male, Assoc-acdm, Federal-gov, <=50K
46, Protective-serv,40, Male, Masters, State-gov, <=50K
18, Handlers-cleaners,16, Male, 11th, Private, <=50K
66, Prof-specialty,20, Female, Assoc-voc, Local-gov, <=50K
27, Other-service,40, Male, HS-grad, Private, <=50K
28, Protective-serv,40, Male, HS-grad, State-gov, <=50K
51, Sales,40, Male, Some-college, Private, >50K
27, Craft-repair,50, Male, Bachelors, Private, <=50K
28, Prof-specialty,40, Male, Bachelors, State-gov, >50K
27, Sales,25, Female, HS-grad, Private, <=50K
21, Craft-repair,40, Male, HS-grad, Private, <=50K
34, Handlers-cleaners,40, Male, HS-grad, Private, <=50K
18, Other-service,12, Male, HS-grad, Private, <=50K
33, Prof-specialty,65, Male, Bachelors, Private, <=50K
44, Exec-managerial,38, Male, Some-college, Local-gov, >50K
43, Adm-clerical,40, Female, Some-college, Private, <=50K
30, Craft-repair,45, Male, Some-college, Private, <=50K
40, Machine-op-inspct,40, Male, 7th-8th, Private, >50K
37, Adm-clerical,42, Male, Some-college, Federal-gov, >50K
34, Adm-clerical,40, Male, HS-grad, Private, <=50K
41, Exec-managerial,40, Female, Bachelors, Self-emp-not-inc, <=50K
53, ?,50, Female, Bachelors, ?, <=50K
31, Prof-specialty,50, Female, Masters, Private, <=50K
58, Prof-specialty,1, Male, Doctorate, State-gov, >50K
38, Machine-op-inspct,28, Female, Some-college, Private, <=50K
24, Machine-op-inspct,40, Male, Some-college, Private, <=50K
41, Craft-repair,40, Male, Bachelors, Local-gov, <=50K
47, Tech-support,45, Male, Some-college, Private, <=50K
41, Tech-support,24, Male, Bachelors, Federal-gov, <=50K
23, Transport-moving,40, Male, 5th-6th, Private, <=50K
36, Craft-repair,40, Male, Some-college, Private, <=50K
40, Exec-managerial,55, Female, Masters, Federal-gov, >50K
35, Prof-specialty,40, Male, Masters, Private, >50K
24, Sales,40, Male, HS-grad, Self-emp-not-inc, <=50K
26, Prof-specialty,40, Female, Masters, Private, <=50K
19, ?,40, Male, HS-grad, ?, <=50K
51, Exec-managerial,50, Male, Bachelors, Private, >50K
42, Prof-specialty,40, Female, Some-college, Local-gov, <=50K
37, Adm-clerical,35, Female, HS-grad, State-gov, <=50K
18, Sales,40, Female, 11th, Private, <=50K
36, Other-service,36, Male, Bachelors, Private, >50K
35, Craft-repair,60, Male, HS-grad, Private, <=50K
58, Sales,35, Female, HS-grad, Self-emp-inc, >50K
17, Sales,12, Female, 11th, Private, <=50K
44, Transport-moving,40, Male, HS-grad, Local-gov, <=50K
37, Craft-repair,40, Male, HS-grad, Private, >50K
35, Sales,40, Female, Some-college, Private, <=50K
60, Craft-repair,40, Male, HS-grad, Private, <=50K
54, Machine-op-inspct,40, Male, 7th-8th, Self-emp-inc, >50K
37, Exec-managerial,60, Male, Bachelors, Private, >50K
50, Sales,40, Female, Assoc-acdm, Private, <=50K
38, Sales,50, Male, Bachelors, Private, <=50K
45, Prof-specialty,55, Male, Bachelors, Private, <=50K
25, Craft-repair,40, Male, 10th, Private, <=50K
31, Handlers-cleaners,40, Male, Some-college, Private, <=50K
64, ?,40, Male, 1st-4th, ?, <=50K
90, Other-service,40, Male, HS-grad, Private, <=50K
54, Adm-clerical,20, Male, HS-grad, Private, <=50K
53, Machine-op-inspct,35, Female, Preschool, Local-gov, <=50K
18, Sales,40, Female, HS-grad, Private, <=50K
60, ?,10, Female, 10th, ?, <=50K
66, Farming-fishing,50, Male, HS-grad, Self-emp-not-inc, <=50K
75, Adm-clerical,20, Female, Assoc-voc, Private, <=50K
65, Adm-clerical,40, Female, HS-grad, Private, <=50K
35, Transport-moving,40, Male, 11th, Private, <=50K
41, Sales,38, Female, HS-grad, Private, <=50K
25, Adm-clerical,42, Male, Some-college, Private, <=50K
33, Craft-repair,40, Female, Some-college, Private, <=50K
28, Prof-specialty,55, Male, Prof-school, Private, >50K
59, Other-service,40, Male, HS-grad, State-gov, <=50K
40, Adm-clerical,38, Female, Some-college, State-gov, <=50K
41, Exec-managerial,50, Male, Bachelors, Private, >50K
38, Exec-managerial,70, Male, Masters, Local-gov, >50K
23, Transport-moving,40, Male, HS-grad, Private, <=50K
40, Prof-specialty,40, Male, Bachelors, Private, >50K
41, Other-service,20, Female, HS-grad, Self-emp-not-inc, <=50K
24, Protective-serv,50, Male, Assoc-acdm, State-gov, <=50K
20, ?,20, Male, Some-college, ?, <=50K
38, Craft-repair,40, Male, Some-college, Private, <=50K
56, Adm-clerical,35, Male, HS-grad, Private, <=50K
58, Adm-clerical,45, Male, HS-grad, Private, >50K
32, Other-service,34, Female, HS-grad, Private, <=50K
40, Tech-support,60, Male, Assoc-acdm, Private, >50K
45, Adm-clerical,40, Male, HS-grad, Private, <=50K
41, Prof-specialty,40, Female, Prof-school, Private, >50K
42, Adm-clerical,40, Female, Bachelors, Private, <=50K
59, Other-service,30, Female, 10th, Local-gov, <=50K
19, Adm-clerical,40, Male, Some-college, Local-gov, <=50K
58, Transport-moving,20, Male, Some-college, Private, <=50K
42, Farming-fishing,40, Male, HS-grad, Self-emp-not-inc, >50K
20, Other-service,40, Female, HS-grad, Private, <=50K
32, Other-service,30, Female, HS-grad, Private, <=50K
45, Exec-managerial,45, Female, Assoc-voc, Private, <=50K
50, Craft-repair,40, Male, 7th-8th, Private, <=50K
36, Prof-specialty,40, Female, Bachelors, Private, <=50K
45, Sales,60, Male, HS-grad, Private, <=50K
17, Other-service,12, Male, 11th, Private, <=50K
59, Sales,40, Male, Some-college, Private, <=50K
26, Craft-repair,40, Male, 11th, Private, <=50K
37, Exec-managerial,75, Male, Some-college, Self-emp-inc, >50K
19, ?,24, Male, Some-college, ?, <=50K
64, Exec-managerial,40, Male, HS-grad, Private, >50K
33, Prof-specialty,45, Female, Bachelors, Private, <=50K
33, Craft-repair,40, Female, HS-grad, Private, >50K
61, Exec-managerial,40, Male, HS-grad, Private, >50K
17, Other-service,24, Male, 9th, Private, <=50K
50, Farming-fishing,98, Male, Masters, Self-emp-not-inc, <=50K
27, Prof-specialty,35, Male, Masters, Local-gov, <=50K
30, Prof-specialty,40, Female, HS-grad, Private, <=50K
43, Handlers-cleaners,40, Male, HS-grad, Private, <=50K
44, Craft-repair,40, Male, Some-college, Private, >50K
35, Exec-managerial,40, Female, Some-college, Private, <=50K
25, Tech-support,40, Female, Some-college, Private, <=50K
24, Machine-op-inspct,48, Female, Some-college, Private, >50K
22, Prof-specialty,15, Female, Bachelors, Private, <=50K
42, Craft-repair,40, Male, Some-college, Local-gov, >50K
34, Sales,45, Female, Assoc-acdm, Private, <=50K
60, Prof-specialty,42, Female, Bachelors, Private, <=50K
21, Handlers-cleaners,40, Male, HS-grad, Private, <=50K
57, Sales,40, Male, Masters, Federal-gov, >50K
41, Prof-specialty,60, Male, Prof-school, Private, >50K
50, Other-service,45, Male, Some-college, Private, <=50K
25, Exec-managerial,40, Female, Bachelors, Private, <=50K
50, Craft-repair,40, Male, 7th-8th, Private, <=50K
36, Prof-specialty,45, Male, Bachelors, Private, <=50K
31, Prof-specialty,40, Female, HS-grad, Private, <=50K
29, Protective-serv,56, Male, Bachelors, Local-gov, <=50K
21, Sales,45, Male, Some-college, Private, <=50K
27, Tech-support,40, Female, Bachelors, Private, <=50K
65, Transport-moving,16, Male, HS-grad, Private, <=50K
37, Sales,60, Female, Bachelors, Self-emp-inc, <=50K
39, ?,40, Female, Masters, ?, <=50K
24, Craft-repair,40, Male, HS-grad, Private, <=50K
38, Sales,80, Male, HS-grad, Private, <=50K
48, Adm-clerical,40, Male, Bachelors, Private, >50K
21, Other-service,25, Female, Some-college, Private, <=50K
31, Transport-moving,45, Male, HS-grad, Private, >50K
55, Sales,40, Male, HS-grad, Private, >50K
24, Adm-clerical,40, Female, Some-college, Private, <=50K
43, Adm-clerical,40, Female, HS-grad, Private, <=50K
26, Tech-support,45, Male, Assoc-acdm, Private, <=50K
46, Prof-specialty,33, Female, Assoc-acdm, Private, <=50K
35, Adm-clerical,40, Male, Assoc-acdm, Private, >50K
41, Farming-fishing,54, Male, Some-college, Self-emp-inc, >50K
26, Sales,40, Male, Bachelors, Private, <=50K
34, Exec-managerial,35, Male, Masters, Private, >50K
19, ?,25, Female, Some-college, ?, <=50K
36, Prof-specialty,40, Female, Bachelors, Self-emp-not-inc, >50K
22, Sales,15, Male, Some-college, Private, <=50K
24, Machine-op-inspct,40, Male, Some-college, Private, <=50K
77, Sales,40, Male, Some-college, Self-emp-not-inc, <=50K
22, Machine-op-inspct,40, Female, 5th-6th, Private, <=50K
29, Tech-support,40, Female, Some-college, Private, <=50K
62, Other-service,24, Female, HS-grad, Private, <=50K
39, Exec-managerial,40, Male, HS-grad, Self-emp-not-inc, <=50K
43, Craft-repair,50, Male, Some-college, Private, <=50K
35, Transport-moving,45, Male, HS-grad, Private, <=50K
29, Exec-managerial,40, Female, 11th, Private, <=50K
76, Craft-repair,10, Male, Masters, Self-emp-not-inc, <=50K
63, Farming-fishing,45, Male, HS-grad, Self-emp-not-inc, <=50K
23, ?,15, Female, Assoc-voc, ?, <=50K
43, Prof-specialty,50, Female, Some-college, Private, >50K
58, Handlers-cleaners,40, Male, HS-grad, Self-emp-not-inc, <=50K
66, Transport-moving,55, Male, HS-grad, Private, <=50K
41, Craft-repair,45, Male, Some-college, Private, <=50K
26, Adm-clerical,40, Male, Bachelors, Private, <=50K
47, Other-service,40, Male, Assoc-voc, Private, <=50K
55, Adm-clerical,40, Male, 10th, Local-gov, <=50K
53, Transport-moving,40, Male, HS-grad, Private, <=50K
17, Other-service,48, Male, 5th-6th, Private, <=50K
30, Craft-repair,40, Male, HS-grad, Private, <=50K
49, Prof-specialty,60, Male, Masters, Private, <=50K
19, Sales,30, Male, HS-grad, Private, <=50K
45, Other-service,40, Male, HS-grad, Private, <=50K
26, Sales,40, Male, Assoc-acdm, Private, <=50K
38, Craft-repair,40, Male, Assoc-voc, Private, >50K
36, Protective-serv,40, Male, HS-grad, State-gov, >50K
33, Farming-fishing,20, Male, HS-grad, Private, <=50K
22, Protective-serv,40, Female, Some-college, State-gov, <=50K
43, Sales,42, Male, Bachelors, Self-emp-not-inc, <=50K
67, ?,8, Male, 11th, ?, <=50K
30, ?,40, Female, Assoc-voc, ?, <=50K
56, Other-service,25, Male, Assoc-acdm, Private, <=50K
31, Prof-specialty,25, Male, Bachelors, Private, <=50K
33, Exec-managerial,40, Male, Bachelors, Private, >50K
26, Other-service,40, Male, HS-grad, Private, <=50K
33, Exec-managerial,40, Male, Bachelors, Private, >50K
46, Transport-moving,30, Male, 11th, Local-gov, <=50K
59, ?,40, Male, Bachelors, ?, >50K
38, Adm-clerical,40, Male, HS-grad, Federal-gov, >50K
65, Other-service,40, Male, 11th, Private, <=50K
40, Tech-support,40, Male, Assoc-voc, Private, >50K
42, Adm-clerical,35, Female, HS-grad, Private, <=50K
26, Craft-repair,40, Male, 9th, Self-emp-not-inc, <=50K
36, Other-service,24, Female, 10th, Private, <=50K
62, Prof-specialty,40, Male, Masters, Private, >50K
43, Transport-moving,45, Male, Bachelors, Private, <=50K
43, Exec-managerial,45, Male, Bachelors, Private, >50K
22, Sales,55, Male, HS-grad, Private, <=50K
28, Craft-repair,40, Male, HS-grad, Private, <=50K
56, Sales,45, Male, Some-college, Self-emp-not-inc, <=50K
22, Sales,15, Female, Assoc-acdm, Private, <=50K
57, Exec-managerial,45, Female, Bachelors, Private, >50K
39, Sales,40, Female, HS-grad, Private, <=50K
26, Adm-clerical,15, Female, Some-college, Federal-gov, <=50K
17, Other-service,10, Male, 11th, Private, <=50K
40, Machine-op-inspct,38, Male, Assoc-voc, State-gov, >50K
45, Machine-op-inspct,40, Male, HS-grad, Private, <=50K
44, Craft-repair,40, Male, HS-grad, Private, <=50K
20, Adm-clerical,10, Female, Some-college, Local-gov, <=50K
33, Craft-repair,40, Female, HS-grad, Private, <=50K
23, Sales,40, Male, Some-college, Private, <=50K
46, Exec-managerial,30, Male, Masters, Self-emp-not-inc, <=50K
38, Sales,50, Male, HS-grad, Private, <=50K
54, Transport-moving,40, Male, HS-grad, Private, <=50K
46, Craft-repair,45, Female, 5th-6th, Private, <=50K
25, Craft-repair,40, Male, Some-college, Private, <=50K
46, Sales,40, Female, Some-college, Private, <=50K
36, Transport-moving,40, Female, Some-college, Local-gov, <=50K
23, Other-service,25, Female, HS-grad, Private, <=50K
29, Machine-op-inspct,40, Male, HS-grad, Private, <=50K
44, Adm-clerical,6, Female, Some-college, Private, >50K
19, Adm-clerical,16, Female, Some-college, Private, <=50K
19, Other-service,40, Female, HS-grad, Private, <=50K
35, Other-service,40, Female, HS-grad, Private, >50K
27, Craft-repair,50, Male, Bachelors, Private, <=50K
46, Craft-repair,40, Male, Assoc-acdm, Self-emp-not-inc, <=50K
34, Exec-managerial,45, Male, Bachelors, State-gov, >50K
34, Other-service,35, Female, HS-grad, Private, <=50K
44, Tech-support,40, Male, Some-college, Private, <=50K
45, Handlers-cleaners,40, Female, Some-college, Private, <=50K
20, ?,35, Female, HS-grad, ?, <=50K
25, Exec-managerial,55, Male, Bachelors, Private, >50K
52, Exec-managerial,50, Male, Bachelors, Self-emp-inc, >50K
20, Handlers-cleaners,40, Male, Some-college, Private, <=50K
28, Other-service,40, Female, Some-college, Private, <=50K
50, Protective-serv,40, Male, Bachelors, State-gov, >50K
34, Tech-support,64, Female, Assoc-voc, Private, <=50K
28, Handlers-cleaners,40, Male, 7th-8th, Private, <=50K
41, Exec-managerial,65, Male, Masters, Private, >50K
28, Adm-clerical,40, Male, HS-grad, Private, <=50K
46, Craft-repair,25, Male, HS-grad, Self-emp-not-inc, <=50K
28, ?,40, Female, Some-college, ?, >50K
32, Exec-managerial,50, Male, Some-college, Private, <=50K
41, Other-service,24, Female, Some-college, Local-gov, <=50K
24, Handlers-cleaners,40, Female, HS-grad, Private, <=50K
33, Exec-managerial,40, Female, Some-college, Private, <=50K
46, Exec-managerial,60, Male, Doctorate, Private, >50K
31, Machine-op-inspct,40, Male, Some-college, State-gov, <=50K
35, Craft-repair,50, Male, 12th, Private, >50K
52, Machine-op-inspct,40, Male, 1st-4th, Private, <=50K
30, Other-service,19, Female, 11th, Private, <=50K
34, Machine-op-inspct,40, Male, 11th, Local-gov, <=50K
34, Transport-moving,40, Female, HS-grad, State-gov, <=50K
20, Sales,30, Male, Some-college, Private, <=50K
17, Handlers-cleaners,18, Male, 11th, Private, <=50K
32, Exec-managerial,40, Female, Bachelors, State-gov, >50K
29, Farming-fishing,40, Male, HS-grad, Private, <=50K
33, Craft-repair,35, Female, 10th, Private, <=50K
25, Transport-moving,60, Male, HS-grad, Private, <=50K
36, Prof-specialty,40, Male, Masters, Federal-gov, <=50K
23, Handlers-cleaners,72, Male, HS-grad, Private, <=50K
63, Exec-managerial,40, Male, HS-grad, Self-emp-inc, >50K
47, Prof-specialty,40, Male, Masters, Local-gov, <=50K
80, ?,24, Male, HS-grad, ?, <=50K
17, ?,40, Male, 11th, ?, <=50K
40, Prof-specialty,40, Female, Bachelors, Self-emp-not-inc, <=50K
30, Other-service,25, Female, Assoc-acdm, Private, >50K
27, Craft-repair,40, Male, Some-college, Private, <=50K
33, Prof-specialty,50, Male, Masters, Private, >50K
34, Farming-fishing,60, Male, HS-grad, Local-gov, <=50K
34, Protective-serv,40, Female, Some-college, Local-gov, <=50K
23, Adm-clerical,40, Male, Some-college, Private, <=50K
42, Adm-clerical,40, Female, Some-college, Local-gov, <=50K
29, Prof-specialty,40, Male, Bachelors, Private, <=50K
45, Adm-clerical,28, Female, HS-grad, Private, <=50K
24, Armed-Forces,40, Male, HS-grad, Federal-gov, <=50K
44, Prof-specialty,40, Male, Some-college, Private, >50K
27, Craft-repair,40, Male, 9th, Private, <=50K
20, Sales,35, Male, Some-college, Private, <=50K
44, Exec-managerial,40, Female, HS-grad, Private, <=50K
51, Craft-repair,40, Male, HS-grad, Private, <=50K
20, Machine-op-inspct,40, Male, HS-grad, Private, <=50K
17, ?,5, Female, 11th, ?, <=50K
19, Machine-op-inspct,40, Female, HS-grad, Private, <=50K
45, Craft-repair,55, Male, Some-college, Self-emp-inc, >50K
60, Craft-repair,40, Male, HS-grad, Private, >50K
42, Exec-managerial,40, Male, Assoc-acdm, Private, >50K
44, Sales,40, Female, HS-grad, Self-emp-not-inc, >50K
40, Machine-op-inspct,40, Male, Assoc-voc, Private, >50K
30, Exec-managerial,40, Female, HS-grad, Private, <=50K
38, Transport-moving,50, Male, Some-college, Private, <=50K
23, Transport-moving,60, Male, HS-grad, Private, <=50K
32, ?,40, Male, Some-college, ?, <=50K
44, Farming-fishing,40, Male, Assoc-acdm, Private, <=50K
54, Transport-moving,40, Male, HS-grad, Local-gov, <=50K
32, Prof-specialty,50, Male, Bachelors, Private, <=50K
50, Craft-repair,40, Male, 1st-4th, Private, <=50K
24, Tech-support,20, Female, Bachelors, Private, <=50K
37, Adm-clerical,60, Female, HS-grad, Private, <=50K
52, Transport-moving,40, Male, HS-grad, Private, <=50K
38, Transport-moving,40, Male, Some-college, Private, <=50K
49, Exec-managerial,45, Male, Masters, Private, >50K
30, Tech-support,16, Female, Bachelors, Private, >50K
60, Prof-specialty,40, Male, Some-college, Private, >50K
22, ?,40, Male, Some-college, ?, <=50K
35, Craft-repair,40, Male, HS-grad, Private, <=50K
30, Transport-moving,60, Male, HS-grad, Private, <=50K
67, Other-service,24, Female, Assoc-voc, Private, <=50K
46, Craft-repair,40, Female, Bachelors, Private, <=50K
17, Other-service,6, Male, 9th, Private, <=50K
22, Handlers-cleaners,30, Male, Some-college, Private, <=50K
27, Other-service,40, Male, 10th, Private, <=50K
23, Other-service,35, Female, HS-grad, Private, <=50K
33, Craft-repair,45, Male, Assoc-acdm, Private, <=50K
43, Craft-repair,20, Male, Some-college, Self-emp-not-inc, <=50K
28, Prof-specialty,20, Male, Bachelors, State-gov, <=50K
41, Craft-repair,40, Female, HS-grad, Private, <=50K
52, ?,40, Male, 12th, ?, <=50K
25, Adm-clerical,20, Female, Some-college, Private, <=50K
63, ?,35, Male, 1st-4th, ?, <=50K
59, Transport-moving,45, Male, HS-grad, Local-gov, <=50K
45, Prof-specialty,40, Female, Bachelors, Local-gov, <=50K
38, Sales,60, Male, Bachelors, Private, >50K
40, Other-service,35, Female, HS-grad, Private, <=50K
